,PV Current,PV Voltage,PV Energy,clusters_pred
0,59.7,19.4,0.0,0
1,59.5,26.8,0.0,0
2,59.4,16.1,0.0,0
3,59.3,9.1,0.0,0
4,59.3,25.2,0.0,0
5,59.3,7.7,0.0,0
6,59.2,20.0,0.0,0
7,13.0,17.2,0.0,1
8,27.8,10.6,0.0,1
9,37.7,17.1,0.0,1
10,44.5,34.3,0.0,1
11,49.3,5.5,0.0,1
12,52.2,24.7,0.0,1
13,54.2,15.5,0.0,1
14,55.6,39.2,0.0,1
15,56.6,49.1,0.0,0
16,57.5,59.2,0.0,0
17,57.9,57.4,0.0,0
18,58.2,50.0,0.0,0
19,58.4,85.2,0.0,0
20,58.6,81.1,0.0,0
21,58.8,101.9,0.0,0
22,59.0,89.0,100.0,0
23,59.1,69.6,100.0,0
24,59.3,75.8,100.0,0
25,59.6,48.9,100.0,0
26,59.6,85.1,100.0,0
27,59.8,219.5,100.0,0
28,60.2,172.4,200.0,0
29,60.4,137.6,200.0,0
30,60.5,176.8,200.0,0
31,60.5,171.6,200.0,0
32,60.6,183.6,300.0,0
33,60.7,219.2,300.0,0
34,56.2,0.0,300.0,0
35,60.7,67.6,0.0,0
36,60.7,57.6,0.0,0
37,60.5,63.4,0.0,0
38,60.2,65.1,0.0,0
39,60.0,31.2,0.0,0
40,59.9,39.4,0.0,0
41,59.8,14.6,0.0,0
42,59.5,9.5,0.0,0
43,59.3,4.7,0.0,0
44,0.0,0.0,0.0,1
45,4.2,0.0,0.0,1
46,11.9,4.3,0.0,1
47,26.9,23.8,0.0,1
48,37.2,2.2,0.0,1
49,44.0,22.7,0.0,1
50,48.7,40.6,0.0,1
51,51.9,30.5,0.0,1
52,54.0,44.9,0.0,1
53,55.6,36.7,0.0,1
54,56.6,48.0,0.0,0
55,57.6,86.8,0.0,0
56,58.3,64.2,0.0,0
57,58.8,199.0,0.0,0
58,59.1,73.9,0.0,0
59,59.1,71.7,100.0,0
60,59.0,69.2,100.0,0
61,59.2,83.6,100.0,0
62,59.3,63.4,100.0,0
63,59.3,104.7,100.0,0
64,59.7,150.4,100.0,0
65,60.0,211.9,200.0,0
66,60.2,197.6,200.0,0
67,60.4,172.9,200.0,0
68,60.8,170.9,300.0,0
69,60.7,155.9,300.0,0
70,61.0,188.8,300.0,0
71,60.4,28.9,0.0,0
72,60.0,27.5,0.0,0
73,59.8,12.3,0.0,0
74,59.5,25.8,0.0,0
75,59.4,19.4,0.0,0
76,59.2,5.6,0.0,0
77,59.1,6.6,0.0,0
78,16.6,25.9,0.0,1
79,30.2,36.3,0.0,1
80,39.2,30.5,0.0,1
81,45.4,52.5,0.0,1
82,49.7,52.4,0.0,1
83,52.7,36.9,0.0,1
84,54.8,35.5,0.0,1
85,56.2,40.3,0.0,1
86,57.0,35.4,0.0,0
87,57.6,88.1,0.0,0
88,58.3,76.4,0.0,0
89,58.9,155.7,0.0,0
90,59.3,126.9,100.0,0
91,59.7,150.7,100.0,0
92,59.9,114.6,100.0,0
93,60.0,137.4,100.0,0
94,60.2,149.3,200.0,0
95,60.4,114.1,200.0,0
96,60.4,158.6,200.0,0
97,60.6,202.1,300.0,0
98,60.7,184.6,300.0,0
99,60.8,174.2,300.0,0
100,60.7,137.8,300.0,0
101,60.6,11.5,0.0,0
102,60.4,26.6,0.0,0
103,60.2,33.7,0.0,0
104,60.2,19.4,0.0,0
105,60.1,16.8,0.0,0
106,59.9,24.4,0.0,0
107,59.6,9.4,0.0,0
108,59.4,9.7,0.0,0
109,59.3,2.5,0.0,0
110,4.5,0.0,0.0,1
111,9.7,3.3,0.0,1
112,25.5,45.3,0.0,1
113,36.5,1.4,0.0,1
114,43.6,36.5,0.0,1
115,48.6,28.7,0.0,1
116,51.8,43.1,0.0,1
117,54.3,73.8,0.0,1
118,56.1,51.4,0.0,1
119,57.0,50.9,0.0,0
120,57.7,55.7,0.0,0
121,58.4,95.5,0.0,0
122,59.0,121.6,0.0,0
123,59.4,119.2,100.0,0
124,59.6,119.6,100.0,0
125,59.6,57.4,100.0,0
126,59.5,105.2,100.0,0
127,59.7,214.2,100.0,0
128,59.9,197.9,200.0,0
129,60.2,235.3,200.0,0
130,60.7,222.3,200.0,0
131,60.9,149.0,300.0,0
132,60.8,174.9,300.0,0
133,60.8,161.1,300.0,0
134,60.1,34.3,0.0,0
135,59.9,12.5,0.0,0
136,59.7,1.7,0.0,0
137,59.7,24.5,0.0,0
138,59.6,9.9,0.0,0
139,59.5,19.6,0.0,0
140,59.2,8.3,0.0,0
141,59.0,14.6,0.0,0
142,52.0,0.0,0.0,1
143,0.0,0.0,0.0,1
144,5.9,0.0,0.0,1
145,6.3,0.0,0.0,1
146,20.7,19.9,0.0,1
147,33.0,32.1,0.0,1
148,41.5,30.9,0.0,1
149,47.1,32.3,0.0,1
150,50.9,22.6,0.0,1
151,53.4,24.9,0.0,1
152,55.3,56.6,0.0,1
153,56.4,47.4,0.0,1
154,57.1,68.3,0.0,0
155,57.7,67.9,0.0,0
156,58.3,75.8,0.0,0
157,58.6,72.8,0.0,0
158,58.9,141.7,100.0,0
159,59.2,99.0,100.0,0
160,59.3,124.5,100.0,0
161,59.4,126.3,100.0,0
162,59.5,144.3,100.0,0
163,59.9,205.8,200.0,0
164,60.4,204.6,200.0,0
165,60.8,235.6,200.0,0
166,60.6,236.0,300.0,0
167,60.8,234.5,300.0,0
168,60.0,23.8,0.0,0
169,59.8,58.0,0.0,0
170,59.7,39.6,0.0,0
171,59.6,29.7,0.0,0
172,59.5,17.2,0.0,0
173,59.4,3.7,0.0,0
174,54.4,0.0,0.0,1
175,38.4,0.0,0.0,1
176,5.8,0.0,0.0,1
177,6.1,0.0,0.0,1
178,6.3,0.0,0.0,1
179,6.3,0.0,0.0,1
180,16.1,55.4,0.0,1
181,30.1,70.7,0.0,1
182,39.3,37.1,0.0,1
183,45.6,52.5,0.0,1
184,49.8,92.5,0.0,1
185,52.7,120.4,0.0,1
186,54.8,73.3,0.0,1
187,56.0,63.8,0.0,1
188,56.9,87.2,100.0,0
189,57.6,161.3,100.0,0
190,58.0,136.4,100.0,0
191,58.3,142.6,100.0,0
192,58.7,187.3,100.0,0
193,59.1,226.6,200.0,0
194,59.5,153.3,200.0,0
195,60.0,172.7,200.0,0
196,60.4,140.7,300.0,0
197,60.7,263.1,300.0,0
198,60.7,149.8,300.0,0
199,60.4,57.4,0.0,0
200,60.3,48.3,0.0,0
201,60.1,30.1,0.0,0
202,59.9,2.4,0.0,0
203,59.6,23.8,0.0,0
204,59.5,10.2,0.0,0
205,59.4,15.7,0.0,0
206,59.3,9.1,0.0,0
207,59.2,4.5,0.0,0
208,0.0,0.0,0.0,1
209,4.6,0.0,0.0,1
210,19.9,15.8,0.0,1
211,32.5,34.2,0.0,1
212,40.9,8.7,0.0,1
213,46.7,34.2,0.0,1
214,50.6,25.5,0.0,1
215,53.3,80.8,0.0,1
216,55.3,61.1,0.0,1
217,56.5,62.8,0.0,0
218,57.4,97.5,0.0,0
219,58.2,54.0,0.0,0
220,58.4,43.8,0.0,0
221,58.8,72.5,0.0,0
222,59.1,112.9,100.0,0
223,59.6,102.6,100.0,0
224,59.6,165.8,100.0,0
225,60.0,188.9,100.0,0
226,60.2,154.8,200.0,0
227,60.3,103.4,200.0,0
228,60.4,198.5,200.0,0
229,60.6,208.5,200.0,0
230,60.8,231.2,300.0,0
231,61.2,241.8,300.0,0
232,60.1,39.7,0.0,0
233,60.1,32.6,0.0,0
234,60.0,35.1,0.0,0
235,59.7,24.5,0.0,0
236,59.5,18.5,0.0,0
237,59.4,9.9,0.0,0
238,59.3,16.4,0.0,0
239,59.3,5.4,0.0,0
240,59.2,0.0,0.0,0
241,8.0,17.7,0.0,1
242,24.6,21.5,0.0,1
243,35.8,25.0,0.0,1
244,43.4,48.3,0.0,1
245,48.6,23.5,0.0,1
246,51.9,25.2,0.0,1
247,54.3,30.5,0.0,1
248,56.1,41.3,0.0,1
249,57.0,89.0,0.0,0
250,57.8,76.3,0.0,0
251,58.5,46.8,0.0,0
252,59.0,69.0,0.0,0
253,59.3,100.3,100.0,0
254,59.7,132.9,100.0,0
255,59.8,76.0,100.0,0
256,60.1,97.5,100.0,0
257,60.2,140.0,100.0,0
258,60.3,90.6,100.0,0
259,60.6,250.3,200.0,0
260,60.8,196.1,200.0,0
261,60.8,119.6,200.0,0
262,61.0,182.5,300.0,0
263,61.3,204.6,300.0,0
264,60.9,82.3,300.0,0
265,60.4,48.6,0.0,0
266,60.3,22.0,0.0,0
267,60.3,36.2,0.0,0
268,60.2,15.0,0.0,0
269,60.1,18.2,0.0,0
270,60.0,4.7,0.0,0
271,60.0,3.6,0.0,0
272,59.8,1.6,0.0,0
273,44.3,0.0,0.0,1
274,12.3,5.7,0.0,1
275,27.3,8.6,0.0,1
276,37.5,9.1,0.0,1
277,44.2,48.9,0.0,1
278,49.1,39.8,0.0,1
279,52.5,63.4,0.0,1
280,54.9,62.8,0.0,1
281,56.4,40.9,0.0,1
282,57.2,49.4,0.0,0
283,58.0,86.2,0.0,0
284,58.6,179.0,0.0,0
285,59.1,171.4,100.0,0
286,59.6,127.4,100.0,0
287,59.7,127.9,100.0,0
288,60.1,169.5,100.0,0
289,60.4,144.9,200.0,0
290,60.6,116.2,200.0,0
291,60.6,224.4,200.0,0
292,60.6,213.5,200.0,0
293,60.6,235.0,300.0,0
294,60.8,176.0,300.0,0
295,60.0,54.3,0.0,0
296,60.0,29.1,0.0,0
297,60.0,55.0,0.0,0
298,60.1,36.7,0.0,0
299,60.1,24.2,0.0,0
300,60.1,15.6,0.0,0
301,59.9,16.1,0.0,0
302,59.7,2.2,0.0,0
303,50.4,0.0,0.0,1
304,7.2,0.0,0.0,1
305,9.0,0.0,0.0,1
306,9.4,0.0,0.0,1
307,9.5,0.0,0.0,1
308,24.4,26.6,0.0,1
309,35.5,54.6,0.0,1
310,43.0,52.9,0.0,1
311,48.2,46.1,0.0,1
312,51.7,57.1,0.0,1
313,54.3,80.1,0.0,1
314,55.8,44.3,0.0,1
315,56.7,37.2,0.0,0
316,57.5,54.4,0.0,0
317,58.1,68.6,0.0,0
318,58.4,100.3,100.0,0
319,58.8,102.3,100.0,0
320,58.9,103.6,100.0,0
321,59.1,71.3,100.0,0
322,59.4,119.2,100.0,0
323,59.9,155.7,100.0,0
324,60.0,99.4,200.0,0
325,59.8,137.7,200.0,0
326,60.1,224.8,200.0,0
327,60.7,313.8,300.0,0
328,60.7,171.2,300.0,0
329,60.7,176.6,300.0,0
330,60.7,241.6,300.0,0
331,60.1,46.2,0.0,0
332,59.9,47.4,0.0,0
333,59.8,32.8,0.0,0
334,59.8,46.2,0.0,0
335,59.8,28.7,0.0,0
336,59.7,17.8,0.0,0
337,59.5,13.2,0.0,0
338,59.3,1.1,0.0,0
339,4.2,0.0,0.0,1
340,7.0,3.9,0.0,1
341,23.6,16.0,0.0,1
342,35.0,19.6,0.0,1
343,42.6,26.9,0.0,1
344,47.8,46.2,0.0,1
345,51.4,43.2,0.0,1
346,53.9,36.9,0.0,1
347,55.7,60.2,0.0,1
348,56.8,41.9,0.0,0
349,57.7,31.1,0.0,0
350,58.2,23.5,0.0,0
351,58.5,144.9,0.0,0
352,58.9,75.2,0.0,0
353,59.2,123.0,100.0,0
354,59.5,144.7,100.0,0
355,59.7,75.6,100.0,0
356,59.8,121.5,100.0,0
357,60.2,126.4,100.0,0
358,60.6,200.9,200.0,0
359,61.0,85.1,200.0,0
360,60.8,237.6,200.0,0
361,60.9,128.8,300.0,0
362,60.5,146.0,300.0,0
363,60.2,234.1,300.0,0
364,60.4,37.1,0.0,0
365,60.1,30.4,0.0,0
366,59.9,40.3,0.0,0
367,59.8,22.0,0.0,0
368,59.6,33.7,0.0,0
369,59.5,24.7,0.0,0
370,59.5,12.0,0.0,0
371,59.5,13.6,0.0,0
372,59.3,3.6,0.0,0
